"DATE_NAME","GEOGRAPHY_NAME","GEOGRAPHY_CODE","GENDER_NAME","AGE_NAME","MEASURE_NAME","MEASURES_NAME","OBS_VALUE","OBS_STATUS_NAME"
"September 2019","Brizlincote","E05006921","Female","Aged 18-24","Claimant count","Value",5,"Normal Value"
"September 2019","Brizlincote","E05006921","Female","Aged 25-29","Claimant count","Value",0,"Normal Value"
"September 2019","Burton","E05006922","Total","All categories: Age 16+","Claimant count","Value",130,"Normal Value"
"September 2019","Burton","E05006922","Total","Aged 18-24","Claimant count","Value",25,"Normal Value"
"September 2019","Burton","E05006922","Total","Aged 25-29","Claimant count","Value",15,"Normal Value"
"September 2019","Burton","E05006922","Male","All categories: Age 16+","Claimant count","Value",85,"Normal Value"
"September 2019","Burton","E05006922","Male","Aged 18-24","Claimant count","Value",15,"Normal Value"
"September 2019","Burton","E05006922","Male","Aged 25-29","Claimant count","Value",10,"Normal Value"
"September 2019","Burton","E05006922","Female","All categories: Age 16+","Claimant count","Value",45,"Normal Value"
"September 2019","Burton","E05006922","Female","Aged 18-24","Claimant count","Value",10,"Normal Value"
"September 2019","Burton","E05006922","Female","Aged 25-29","Claimant count","Value",5,"Normal Value"
"September 2019","Churnet","E05006923","Total","All categories: Age 16+","Claimant count","Value",15,"Normal Value"
"September 2019","Churnet","E05006923","Total","Aged 18-24","Claimant count","Value",0,"Normal Value"
"September 2019","Churnet","E05006923","Total","Aged 25-29","Claimant count","Value",5,"Normal Value"
"September 2019","Churnet","E05006923","Male","All categories: Age 16+","Claimant count","Value",5,"Normal Value"
"September 2019","Churnet","E05006923","Male","Aged 18-24","Claimant count","Value",0,"Normal Value"
"September 2019","Churnet","E05006923","Male","Aged 25-29","Claimant count","Value",5,"Normal Value"
"September 2019","Churnet","E05006923","Female","All categories: Age 16+","Claimant count","Value",10,"Normal Value"
"September 2019","Churnet","E05006923","Female","Aged 18-24","Claimant count","Value",0,"Normal Value"
"September 2019","Churnet","E05006923","Female","Aged 25-29","Claimant count","Value",0,"Normal Value"
"September 2019","Crown","E05006924","Total","All categories: Age 16+","Claimant count","Value",15,"Normal Value"
"September 2019","Crown","E05006924","Total","Aged 18-24","Claimant count","Value",0,"Normal Value"
"September 2019","Crown","E05006924","Total","Aged 25-29","Claimant count","Value",5,"Normal Value"
"September 2019","Crown","E05006924","Male","All categories: Age 16+","Claimant count","Value",10,"Normal Value"
"September 2019","Crown","E05006924","Male","Aged 18-24","Claimant count","Value",0,"Normal Value"
"September 2019","Crown","E05006924","Male","Aged 25-29","Claimant count","Value",5,"Normal Value"
